JobCode,CostFamilyL2Code,CostFamilyL2Description,documentDate,pbsCode,pbsDescription,revisedQuantity,RevisedRate,workDoneQuantity,ActualRate,ACWP
$#18JCDE,2195,"Doors, Windows, Ventilators, Rolling Shutters",2022-02-28 00:00:00.000,6067-2195-001,"Doors, Windows, Ventilators, Rolling Shutters",6862,5815,2338,13280,31048640
$#18JCDE,2195,"Doors, Windows, Ventilators, Rolling Shutters",2022-04-30 00:00:00.000,6067-2195-001,"Doors, Windows, Ventilators, Rolling Shutters",6862,5781,2414,13039,31476146
$#18JCDE,2060,Concreting,2020-01-31 00:00:00.000,6062-2060-005,Precast Concreting,2724,15790,96,13282,1275072
$#18JCDE,2060,Concreting,2020-02-29 00:00:00.000,6062-2060-005,Precast Concreting,2724,15790,96,13282,1275072
$#18JCDE,2110,Formwork,2020-01-31 00:00:00.000,6063-2110-003,Aluminium Formwork,871967.64,375,1765.2,26035,45956982
$#18JCDE,2110,Formwork,2020-02-29 00:00:00.000,6063-2110-003,Aluminium Formwork,871967.64,374,1765.2,26609,46970206.8
$#18JCDE,2180,Flooring & Cladding,2019-07-31 00:00:00.000,6066-2180-001,Flooring & Cladding,79111,1193,3269.4,2824,9232785.6
$#18JCDE,2180,Flooring & Cladding,2019-08-31 00:00:00.000,6066-2180-001,Flooring & Cladding,502199.8,724,45,20515,923175
$#18JCDE,2180,Flooring & Cladding,2019-10-31 00:00:00.000,6066-2180-001,Flooring & Cladding,502199.8,724,45,20515,923175
$#18JCDE,2180,Flooring & Cladding,2019-12-31 00:00:00.000,6066-2180-001,Flooring & Cladding,502199.8,724,45,20515,923175
$#18JCDE,2191,Painting,2019-08-31 00:00:00.000,6066-2191-001,Painting,585645,135,24550,67,1644850
$#18JCDE,2191,Painting,2019-10-31 00:00:00.000,6066-2191-001,Painting,585645,135,24550,44,1080200
$#18JCDE,2191,Painting,2019-12-31 00:00:00.000,6066-2191-001,Painting,585645,135,24550,44,1080200
$#18JCDE,2191,Painting,2020-08-31 00:00:00.000,6066-2191-001,Painting,585645,135,24550,44,1080200
$#18JCDE,2270,Handrails,2020-02-29 00:00:00.000,6067-2270-001,Handrails,2678.04,1109,39,1886,73554
$#18JCDE,2270,Handrails,2020-04-30 00:00:00.000,6067-2270-001,Handrails,2678.04,1109,39,1886,73554
$#18JCDE,2270,Handrails,2020-06-30 00:00:00.000,6067-2270-001,Handrails,2678.04,1109,39,1886,73554
$#18JCDE,2060,Concreting,2019-03-31 00:00:00.000,6062-2060-002,Concreting,3104.04,4921,2941.19,4565,13426532.35
$#18JCDE,2060,Concreting,2019-05-31 00:00:00.000,6062-2060-002,Concreting,3104.04,4921,2941.19,4628,13611827.32
$#18JCDE,2110,Formwork,2020-01-31 00:00:00.000,6063-2110-002,L&T Formwork,58394.9,438,50705.16,320,16225651.2
$#18JCDE,2110,Formwork,2020-02-29 00:00:00.000,6063-2110-002,L&T Formwork,58394.9,438,50705.16,322,16327061.52
$#18JCDE,2110,Formwork,2020-06-30 00:00:00.000,6063-2110-002,L&T Formwork,58394.9,438,50705.16,330,16732702.8
